# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
44	14.800
49	14.500
5	16.200
9	15.600
12	15.300
13	15.800
17	15.600
22	16.300
23	15.600
26	16.400
28	16.100
29	15.500
31	15.900
32	16.300
33	16.400
39	16.500
41	16.400
42	15.400
43	16.300
45	15.500
47	16.300
50	15.900
1	17.000
10	17.000
16	16.600
46	30.000
34	30.200
35	31.300
37	31.300
48	31.000
11	31.600
25	32.100
38	32.300
4	34.300
7	33.300
36	34.400
2	35.500
13	36.000
1	37.300
3	38.200
6	38.500
10	38.900
14	38.100
21	38.000
43	39.500
8	40.600
24	42.000
28	41.400
12	42.300
15	43.100
19	43.100
30	42.900
40	42.600
18	44.900
47	44.200
27	45.200
49	48.000
20	48.700
22	48.800
37	49.300
5	49.700
23	50.500
33	50.400
45	50.000
17	52.200
26	51.200
31	51.700
44	52.100
50	52.700
29	57.500
32	60.700
38	61.100
39	60.600
41	61.000
34	62.700
16	66.600
21	68.100
36	69.000
9	69.800
30	69.700
13	71.600
25	71.300
35	71.100
42	71.100
2	72.800
7	72.400
15	74.700
43	74.700
48	74.200
4	76.900
10	76.600
46	76.700
14	78.600
18	78.800
23	79.000
44	79.500
47	79.300
1	82.100
8	83.000
26	84.000
27	83.600
3	85.900
22	86.600
24	86.400
33	86.000
32	89.200
38	89.200
6	90.900
12	91.000
17	91.100
28	90.500
42	90.900
49	91.500
50	90.800
40	92.800
45	92.200
11	93.200
31	93.200
39	93.400
19	94.900
34	95.800
20	96.100
29	96.100
5	99.200
37	99.600
