# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
12652	15.000
12655	14.900
12659	14.600
12693	14.700
12649	16.300
12654	15.200
12660	15.300
12662	15.800
12663	15.700
12664	15.900
12670	15.100
12671	15.500
12675	15.600
12678	15.700
12681	16.100
12686	15.400
12688	15.400
12690	15.300
12691	15.700
12692	15.700
12694	16.000
12695	16.400
12697	15.600
12650	16.800
12653	16.600
12679	16.600
12684	17.000
12666	25.000
12669	25.400
12667	28.500
12696	27.100
12661	31.100
12677	31.100
12680	30.800
12698	30.900
12689	34.200
12674	35.400
12687	34.700
12668	37.400
12672	36.300
12683	37.400
12675	38.100
12682	37.600
12656	40.400
12673	39.100
12692	42.100
12684	45.600
12685	45.100
12653	46.800
12665	47.300
12662	48.900
12664	48.300
12670	48.400
12678	48.400
12651	49.900
12655	50.600
12681	50.500
12695	50.800
12649	52.300
12658	51.700
12689	52.000
12660	54.600
12650	56.500
12657	57.200
12688	57.300
12697	57.700
12671	59.800
12680	59.100
12686	59.400
12652	60.600
12676	60.600
12663	62.100
12690	62.300
12653	64.200
12672	64.500
12682	63.400
12691	66.200
12679	67.600
12659	70.300
12667	70.000
12669	69.400
12662	71.200
12675	71.400
12666	72.200
12673	72.500
12687	72.600
12696	73.100
12651	74.700
12668	75.000
12694	74.600
12674	75.500
12681	75.400
12688	75.800
12684	77.600
12656	79.900
12693	79.900
12665	83.900
12677	83.300
12698	82.900
12654	84.900
12683	85.500
12692	85.400
12670	85.800
12682	86.700
12685	86.700
12652	88.300
12658	89.200
12689	89.700
12655	90.800
12660	92.600
12678	92.700
12680	92.000
12676	93.100
12675	96.100
12686	96.600
12690	98.600
12663	99.900
12695	99.400
