# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
8	14.600
16	14.700
20	14.200
48	15.000
2	15.200
9	15.600
13	15.100
18	15.500
19	15.400
21	15.900
23	15.600
27	15.800
28	15.400
31	15.900
34	15.100
37	15.500
39	15.600
40	15.500
46	16.200
32	16.900
36	16.600
50	17.000
30	18.800
22	22.400
5	23.600
43	23.800
17	25.800
25	25.900
42	27.000
3	27.900
4	28.000
7	27.700
35	27.200
41	28.000
45	27.200
14	31.000
1	32.600
38	34.000
8	35.200
11	35.100
47	35.800
50	35.900
12	37.300
33	37.300
15	38.100
49	37.900
9	40.300
26	40.100
29	41.100
44	41.700
24	42.400
6	43.600
20	43.900
21	44.400
19	45.100
28	46.300
32	46.400
4	47.300
13	47.000
18	46.900
36	47.100
37	47.400
48	47.500
45	48.900
39	50.600
46	52.100
2	53.500
5	53.500
10	52.600
14	53.900
23	53.500
1	54.100
27	54.900
43	54.400
30	55.900
42	56.500
16	57.300
17	58.200
47	59.400
49	63.000
3	63.500
22	63.200
25	63.300
41	63.800
8	66.000
31	64.800
29	69.300
34	69.600
38	70.500
50	69.800
11	71.300
35	71.000
6	72.300
39	72.800
40	72.300
7	75.500
36	75.800
18	77.100
19	76.900
26	77.300
32	77.900
33	76.900
48	78.400
15	80.800
21	80.100
24	80.000
42	80.600
44	79.600
4	81.800
9	81.800
20	81.100
13	83.800
28	83.300
43	83.400
47	83.600
12	84.700
37	84.600
1	85.600
23	87.000
14	88.000
27	88.000
5	89.000
46	89.100
17	94.500
2	95.700
16	95.400
30	96.000
45	95.300
41	97.400
31	98.300
49	97.700
50	98.800
