# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
2	1.000	-70.000
2	2.000	-70.000
2	3.000	-70.000
2	4.000	-70.000
2	5.000	-70.000
2	6.000	-70.000
2	7.000	-70.000
2	8.000	-70.000
2	9.000	-70.000
2	10.000	-70.000
2	11.000	-70.000
2	12.000	-70.000
2	13.000	-70.000
2	14.000	-70.000
2	15.000	-70.000
2	16.000	-70.000
2	17.000	-70.000
2	18.000	-70.000
2	19.000	-70.000
2	20.000	-70.000
2	21.000	-70.000
2	22.000	-70.000
2	23.000	-70.000
2	24.000	-70.000
2	25.000	-70.000
2	26.000	-70.000
2	27.000	-70.000
2	28.000	-70.000
2	29.000	-70.000
2	30.000	-70.000
2	31.000	-70.000
2	32.000	-70.000
2	33.000	-70.000
2	34.000	-70.000
2	35.000	-70.000
2	36.000	-70.000
2	37.000	-70.000
2	38.000	-70.000
2	39.000	-70.000
2	40.000	-70.000
2	41.000	-70.000
2	42.000	-70.000
2	43.000	-70.000
2	44.000	-70.000
2	45.000	-70.000
2	46.000	-70.000
2	47.000	-70.000
2	48.000	-70.000
2	49.000	-70.000
2	50.000	-70.000
2	51.000	-70.000
2	52.000	-70.000
2	53.000	-70.000
2	54.000	-70.000
2	55.000	-70.000
2	56.000	-70.000
2	57.000	-70.000
2	58.000	-70.000
2	59.000	-70.000
2	60.000	-70.000
2	61.000	-70.000
2	62.000	-70.000
2	63.000	-70.000
2	64.000	-70.000
2	65.000	-70.000
2	66.000	-70.000
2	67.000	-70.000
2	68.000	-70.000
2	69.000	-70.000
2	70.000	-70.000
2	71.000	-70.000
2	72.000	-70.000
2	73.000	-70.000
2	74.000	-70.000
2	75.000	-70.000
2	76.000	-70.000
2	77.000	-70.000
2	78.000	-70.000
2	79.000	-70.000
2	80.000	-70.000
2	81.000	-70.000
2	82.000	-70.000
2	83.000	-70.000
2	84.000	-70.000
2	85.000	-70.000
2	86.000	-70.000
2	87.000	-70.000
2	88.000	-70.000
2	89.000	-70.000
2	90.000	-70.000
2	91.000	-70.000
2	92.000	-70.000
2	93.000	-70.000
2	94.000	-70.000
2	95.000	-70.000
2	96.000	-70.000
2	97.000	-70.000
2	98.000	-70.000
2	99.000	-70.000
